epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6638,1.5963,1.77384,0.94662,0.79357,0.44333,0.49429,0.28434,1.46183,0.94843,0.93691,0.000330159,0.000330159,0.000330159
2,157.2,1.62166,1.01048,0.95561,0.80252,0.41617,0.49908,0.26624,1.56753,1.03262,0.9632,0.000656923,0.000656923,0.000656923
3,232.273,1.60244,0.95291,0.97225,0.77683,0.46309,0.49522,0.26483,1.5735,0.95375,0.99508,0.000977088,0.000977088,0.000977088
4,306.036,1.59886,0.89443,0.96398,0.77554,0.47539,0.52489,0.28754,1.55938,0.9126,0.97944,0.0009703,0.0009703,0.0009703
5,383.447,1.57201,0.86037,0.95433,0.8025,0.51188,0.54225,0.30524,1.46649,0.8041,0.95655,0.0009604,0.0009604,0.0009604
6,460.272,1.55152,0.82674,0.95352,0.80421,0.49782,0.52149,0.30234,1.47604,0.87105,0.96329,0.0009505,0.0009505,0.0009505
7,536.309,1.57677,0.82669,0.95544,0.83428,0.55053,0.5895,0.3327,1.46596,0.76187,0.95565,0.0009406,0.0009406,0.0009406
8,610.491,1.51074,0.79309,0.9539,0.82627,0.52939,0.56658,0.33846,1.40012,0.72866,0.94158,0.0009307,0.0009307,0.0009307
9,683.603,1.49083,0.78532,0.94025,0.83059,0.49674,0.5467,0.31009,1.48335,0.7951,0.96502,0.0009208,0.0009208,0.0009208
10,758.133,1.4789,0.77399,0.9348,0.64973,0.56788,0.58814,0.34735,1.40216,0.7471,0.94598,0.0009109,0.0009109,0.0009109
11,833.066,1.47767,0.77714,0.92768,0.71952,0.57428,0.59679,0.34423,1.46098,0.72417,0.95606,0.000901,0.000901,0.000901
12,906.77,1.44765,0.7459,0.92471,0.74781,0.55745,0.59982,0.34774,1.38487,0.69173,0.93605,0.0008911,0.0008911,0.0008911
13,981.821,1.45662,0.75721,0.93348,0.67349,0.59793,0.60706,0.35176,1.40567,0.73755,0.93468,0.0008812,0.0008812,0.0008812
14,1056.4,1.4434,0.74006,0.92689,0.81877,0.55619,0.60233,0.32357,1.44099,0.77643,0.94001,0.0008713,0.0008713,0.0008713
15,1132.05,1.47744,0.75082,0.93285,0.8581,0.5642,0.60139,0.34223,1.38966,0.71314,0.94579,0.0008614,0.0008614,0.0008614
16,1205.33,1.39031,0.70876,0.91405,0.87581,0.56201,0.63718,0.36073,1.36026,0.68159,0.93886,0.0008515,0.0008515,0.0008515
17,1280.66,1.37685,0.69951,0.91401,0.68283,0.60293,0.61401,0.35371,1.383,0.6667,0.93273,0.0008416,0.0008416,0.0008416
