epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4773,1.90607,2.92295,0.95963,0.87024,0.14438,0.31396,0.16351,1.64944,2.39866,0.92296,0.000330159,0.000330159,0.000330159
2,137.325,1.77847,1.71495,0.95479,0.59479,0.39441,0.38434,0.18595,1.73405,1.13507,0.95678,0.000656923,0.000656923,0.000656923
3,204.632,1.73787,1.45647,0.94479,0.70137,0.4342,0.43654,0.24363,1.64486,1.03319,0.94375,0.000977088,0.000977088,0.000977088
4,269.875,1.69385,1.25313,0.94307,0.76434,0.47128,0.49547,0.24881,1.65069,0.95299,0.94119,0.0009703,0.0009703,0.0009703
5,335.212,1.68755,1.13874,0.94,0.76994,0.47223,0.50021,0.27023,1.54773,0.91263,0.93106,0.0009604,0.0009604,0.0009604
6,400.132,1.65258,1.05508,0.92741,0.79673,0.4865,0.5303,0.28148,1.53477,0.93179,0.92826,0.0009505,0.0009505,0.0009505
7,465.807,1.65328,0.99841,0.93165,0.79129,0.49398,0.52928,0.28208,1.57763,0.86055,0.93774,0.0009406,0.0009406,0.0009406
8,530.937,1.61247,0.95741,0.92776,0.81304,0.53046,0.55118,0.30241,1.52027,0.84165,0.91463,0.0009307,0.0009307,0.0009307
9,596.459,1.62836,0.95227,0.92368,0.84354,0.48891,0.54148,0.29192,1.52196,0.86469,0.91858,0.0009208,0.0009208,0.0009208
10,663.515,1.58692,0.89552,0.9162,0.82299,0.54714,0.56222,0.31585,1.48432,0.7977,0.91271,0.0009109,0.0009109,0.0009109
11,728.64,1.57654,0.88656,0.91156,0.80502,0.53635,0.54969,0.31,1.50872,0.80876,0.90642,0.000901,0.000901,0.000901
12,794.783,1.57105,0.8794,0.90674,0.85462,0.5393,0.56929,0.32712,1.46155,0.7574,0.9104,0.0008911,0.0008911,0.0008911
13,861.356,1.55621,0.86125,0.91072,0.84216,0.54915,0.57212,0.33314,1.43748,0.75378,0.9028,0.0008812,0.0008812,0.0008812
14,927.49,1.54665,0.84267,0.91086,0.79298,0.54772,0.54995,0.31798,1.48509,0.81416,0.9121,0.0008713,0.0008713,0.0008713
15,992.426,1.55714,0.84566,0.9092,0.85256,0.53862,0.56867,0.31999,1.49205,0.76903,0.90898,0.0008614,0.0008614,0.0008614
16,1059.02,1.51563,0.81249,0.90249,0.81819,0.55805,0.57283,0.33305,1.41695,0.75421,0.89792,0.0008515,0.0008515,0.0008515
17,1124.7,1.50653,0.81456,0.90241,0.82143,0.52378,0.55821,0.32809,1.42675,0.75666,0.89961,0.0008416,0.0008416,0.0008416
18,1189.99,1.5038,0.79777,0.89836,0.83133,0.54779,0.57129,0.33245,1.41571,0.74491,0.89981,0.0008317,0.0008317,0.0008317
19,1256.1,1.49364,0.78676,0.89759,0.82488,0.55116,0.58624,0.34446,1.40218,0.72467,0.89873,0.0008218,0.0008218,0.0008218
20,1322.67,1.49893,0.79058,0.89921,0.83228,0.55168,0.58405,0.33845,1.38889,0.70997,0.89478,0.0008119,0.0008119,0.0008119
21,1388.9,1.49972,0.78843,0.89901,0.81038,0.51002,0.55596,0.32213,1.41533,0.75297,0.89541,0.000802,0.000802,0.000802
22,1453.39,1.44152,0.76765,0.89193,0.8442,0.56879,0.58528,0.34478,1.37289,0.70566,0.88962,0.0007921,0.0007921,0.0007921
23,1518.95,1.48907,0.76942,0.89064,0.83606,0.55695,0.59069,0.3524,1.37461,0.70609,0.88873,0.0007822,0.0007822,0.0007822
24,1583.71,1.47968,0.76102,0.89753,0.83526,0.56069,0.57946,0.35192,1.34061,0.69201,0.88707,0.0007723,0.0007723,0.0007723
25,1650.51,1.46713,0.75117,0.89304,0.86063,0.57997,0.59795,0.3534,1.35535,0.69845,0.89625,0.0007624,0.0007624,0.0007624
26,1716.61,1.43868,0.74637,0.89736,0.8455,0.56059,0.58968,0.35358,1.35235,0.69921,0.88665,0.0007525,0.0007525,0.0007525
27,1781.82,1.45639,0.7572,0.89903,0.845,0.59178,0.61426,0.36427,1.32692,0.68258,0.88099,0.0007426,0.0007426,0.0007426
28,1847.11,1.44535,0.74978,0.89455,0.86733,0.56899,0.59421,0.3564,1.32108,0.68299,0.8891,0.0007327,0.0007327,0.0007327
29,1913.94,1.44147,0.74885,0.88974,0.85075,0.57117,0.60825,0.36789,1.33474,0.67104,0.88697,0.0007228,0.0007228,0.0007228
30,1980.59,1.41258,0.72139,0.88746,0.86902,0.57386,0.61341,0.36393,1.32958,0.6817,0.88541,0.0007129,0.0007129,0.0007129
31,2046.36,1.41135,0.71735,0.88568,0.85364,0.59191,0.62358,0.36793,1.32592,0.66438,0.88069,0.000703,0.000703,0.000703
32,2111.62,1.43847,0.72811,0.89205,0.8691,0.58352,0.61451,0.3703,1.32185,0.66128,0.88711,0.0006931,0.0006931,0.0006931
33,2177.13,1.40106,0.71017,0.88229,0.8805,0.57019,0.61547,0.37214,1.34352,0.66459,0.89579,0.0006832,0.0006832,0.0006832
34,2243.6,1.40934,0.71944,0.88466,0.86375,0.58628,0.61479,0.37242,1.30434,0.64887,0.88092,0.0006733,0.0006733,0.0006733
35,2309.6,1.39575,0.69481,0.88222,0.90707,0.55659,0.61973,0.36681,1.3396,0.66537,0.89004,0.0006634,0.0006634,0.0006634
36,2374.88,1.3857,0.69822,0.87608,0.85975,0.57128,0.61029,0.36751,1.3258,0.6625,0.88636,0.0006535,0.0006535,0.0006535
37,2441.11,1.38318,0.69933,0.88425,0.78608,0.60596,0.61972,0.36868,1.30712,0.64538,0.88622,0.0006436,0.0006436,0.0006436
38,2507.02,1.39058,0.70165,0.88934,0.72119,0.59321,0.60017,0.36056,1.32791,0.65369,0.88677,0.0006337,0.0006337,0.0006337
39,2573.08,1.37124,0.68042,0.87571,0.68428,0.58927,0.61703,0.37429,1.29736,0.63409,0.88468,0.0006238,0.0006238,0.0006238
40,2638.68,1.39301,0.69026,0.88321,0.6654,0.6065,0.61862,0.37488,1.2988,0.63599,0.88084,0.0006139,0.0006139,0.0006139
41,2705.08,1.37033,0.67783,0.87826,0.67787,0.60838,0.615,0.37242,1.3284,0.63754,0.88554,0.000604,0.000604,0.000604
42,2769.88,1.35197,0.6636,0.87407,0.87898,0.57919,0.62814,0.37342,1.30411,0.6335,0.8855,0.0005941,0.0005941,0.0005941
43,2837.11,1.36248,0.68519,0.87784,0.69504,0.61168,0.62278,0.37929,1.26894,0.62951,0.87218,0.0005842,0.0005842,0.0005842
44,2904.07,1.35561,0.67646,0.87319,0.78861,0.59872,0.62876,0.38092,1.30307,0.63944,0.88001,0.0005743,0.0005743,0.0005743
45,2970.33,1.3607,0.67826,0.86857,0.64075,0.61107,0.60324,0.36922,1.28605,0.63688,0.87738,0.0005644,0.0005644,0.0005644
46,3034.8,1.35634,0.67532,0.87523,0.62948,0.60148,0.61311,0.37657,1.27235,0.63739,0.87456,0.0005545,0.0005545,0.0005545
47,3100.04,1.35077,0.67168,0.87365,0.81207,0.59682,0.6203,0.37869,1.29852,0.63393,0.88333,0.0005446,0.0005446,0.0005446
48,3165.74,1.35483,0.68131,0.87492,0.68806,0.6241,0.62135,0.38197,1.27673,0.63104,0.87644,0.0005347,0.0005347,0.0005347
49,3231.82,1.32406,0.65017,0.87298,0.84145,0.59381,0.64263,0.38651,1.27976,0.6181,0.87548,0.0005248,0.0005248,0.0005248
50,3297.22,1.3461,0.66915,0.87341,0.73916,0.59786,0.624,0.38108,1.30288,0.61797,0.8783,0.0005149,0.0005149,0.0005149
51,3363.56,1.33715,0.65181,0.87183,0.7276,0.60889,0.63895,0.38755,1.32049,0.6265,0.88898,0.000505,0.000505,0.000505
52,3429.59,1.29542,0.6436,0.86643,0.74478,0.61775,0.63114,0.38912,1.26196,0.61583,0.87809,0.0004951,0.0004951,0.0004951
53,3497.6,1.30851,0.6419,0.86716,0.72928,0.60073,0.63524,0.3887,1.27801,0.61993,0.87982,0.0004852,0.0004852,0.0004852
54,3564.12,1.30625,0.6424,0.86477,0.73348,0.60748,0.63543,0.39363,1.26598,0.60407,0.87393,0.0004753,0.0004753,0.0004753
55,3628.51,1.30664,0.63766,0.86964,0.72844,0.59829,0.62061,0.38015,1.29268,0.62024,0.88046,0.0004654,0.0004654,0.0004654
56,3693.37,1.31997,0.64636,0.87137,0.84548,0.58078,0.64173,0.39354,1.27274,0.60236,0.88013,0.0004555,0.0004555,0.0004555
57,3759.05,1.30306,0.63887,0.86946,0.8567,0.60767,0.64318,0.39384,1.24845,0.59562,0.87404,0.0004456,0.0004456,0.0004456
58,3825.38,1.2779,0.63289,0.86512,0.82305,0.58673,0.64136,0.39152,1.23923,0.6055,0.87122,0.0004357,0.0004357,0.0004357
59,3891.66,1.28982,0.62975,0.86446,0.81807,0.59178,0.63571,0.38958,1.24898,0.59131,0.87104,0.0004258,0.0004258,0.0004258
60,3957.88,1.27858,0.63164,0.86691,0.76036,0.62312,0.64341,0.38562,1.2541,0.60428,0.87149,0.0004159,0.0004159,0.0004159
61,4023.92,1.30011,0.632,0.86067,0.76993,0.60231,0.64401,0.38603,1.26055,0.60626,0.87501,0.000406,0.000406,0.000406
62,4088.63,1.26703,0.6257,0.86555,0.73589,0.60283,0.6352,0.39442,1.25057,0.59568,0.87709,0.0003961,0.0003961,0.0003961
63,4153.44,1.2762,0.62448,0.86617,0.77184,0.61126,0.64778,0.38607,1.28521,0.61053,0.88696,0.0003862,0.0003862,0.0003862
64,4218.94,1.25566,0.62307,0.8608,0.76922,0.60853,0.65495,0.39842,1.23543,0.59644,0.87065,0.0003763,0.0003763,0.0003763
65,4284.95,1.26782,0.61459,0.8593,0.7334,0.5982,0.64704,0.40125,1.22765,0.5849,0.87055,0.0003664,0.0003664,0.0003664
66,4349.94,1.27117,0.6198,0.86846,0.75472,0.60599,0.64904,0.40267,1.23781,0.57972,0.87376,0.0003565,0.0003565,0.0003565
67,4414.73,1.22767,0.60575,0.8593,0.74117,0.59716,0.64525,0.4005,1.23147,0.58384,0.8772,0.0003466,0.0003466,0.0003466
68,4480.52,1.26378,0.60985,0.86437,0.70237,0.61339,0.64507,0.4015,1.22892,0.57894,0.87731,0.0003367,0.0003367,0.0003367
69,4545.52,1.25721,0.60971,0.858,0.75086,0.61703,0.6551,0.40478,1.23336,0.58465,0.87573,0.0003268,0.0003268,0.0003268
70,4610.86,1.27545,0.62519,0.86473,0.79282,0.60152,0.64933,0.40264,1.21443,0.57894,0.87228,0.0003169,0.0003169,0.0003169
71,4675.18,1.23864,0.59865,0.85514,0.80342,0.60878,0.64593,0.40046,1.22157,0.57631,0.87396,0.000307,0.000307,0.000307
72,4738.25,1.24415,0.60766,0.86686,0.79729,0.60617,0.64958,0.40477,1.23179,0.58461,0.87707,0.0002971,0.0002971,0.0002971
73,4807.38,1.21807,0.59173,0.85455,0.74457,0.61818,0.6457,0.39904,1.20846,0.56591,0.87364,0.0002872,0.0002872,0.0002872
74,4873.07,1.23328,0.59586,0.85381,0.77072,0.6411,0.66246,0.40584,1.24007,0.57605,0.88428,0.0002773,0.0002773,0.0002773
75,4938.92,1.23831,0.60436,0.86156,0.71457,0.61723,0.64364,0.40175,1.21424,0.58189,0.87599,0.0002674,0.0002674,0.0002674
76,5003.8,1.23022,0.59477,0.85693,0.75149,0.63427,0.66173,0.40811,1.19626,0.57043,0.86876,0.0002575,0.0002575,0.0002575
77,5069.49,1.22637,0.59195,0.851,0.79949,0.60865,0.66361,0.40565,1.22211,0.56565,0.87281,0.0002476,0.0002476,0.0002476
